Pressure [Pa],Velocity [m/s]
113363.929,0.642375388
113523.636,0.786119366
113523.608,0.66738713
113521.993,0.674179089
113521.05,0.624678107
113057.561,0.355739376
113057.871,0.410740544
113207.659,0.376205728
113211.831,0.423254626
113062.902,0.522842202
113058.39,0.529810808
113215.178,0.522806512
113211.769,0.518751988
113388.521,0.34893848
113371.098,0.433888284
113535.674,0.335129735
113528.057,0.443705963
113369.584,0.52237673
113366.383,0.506056531
113525.431,0.52261386
113522.81,0.491883174
112439.923,0.500854737
112443.357,0.026381647
112436.307,0.494170338
112441.787,0.033154255
112588.89,0.444548225
112589.604,0.050926623
112588.21,0.427228797
112591.585,0.068591793
112447.439,0.003648227
112443.172,0.003972636
112593.249,0.007047142
112595.177,0.024424094
112436.035,0.546575268
112438.079,0.033356912
112439.707,0.438667782
112440.745,0.09735482
112590.159,0.49134391
112589.818,0.011887469
112592.945,0.403352039
112594.661,0.053813758
112442.009,0.002537899
112440.745,0.09735482
112591.992,0.002952783
112605.105,0.020752355
112740.456,0.387058059
112739.864,0.069187107
112741.875,0.361235002
112743.17,0.084256171
112895.492,0.330840546
112894.761,0.077171668
112898.003,0.296258208
112897.293,0.090322887
112743.097,0.011064299
112745.348,0.050254226
112897.114,0.009257325
112898.738,0.065164843
112747.159,0.436913849
112746.611,0.039777328
112745.721,0.367505673
112747.138,0.024116287
112899.632,0.382355518
112900.135,0.066757652
112899.198,0.330679435
112900.127,0.007661333
112747.434,0.001967511
112754.974,0.000483281
112902.302,0.016142263
112905.791,0.003989596
112439.953,0.38680416
112440.745,0.09735482
112597.526,0.363174675
112594.661,0.053813758
112747.715,0.334635822
112753.64,0.012349381
112905.694,0.305172845
112905.991,0.017594372
113051.268,0.277440326
113051.899,0.081564697
113051.566,0.233986002
113052.368,0.092146586
113207.05,0.225492743
113208.718,0.083766263
113202.454,0.172425331
113208.61,0.090038772
113053.551,0.018471269
113053.989,0.070952813
113209.738,0.03305256
113209.983,0.074158387
113054.742,0.327210962
113054.47,0.077854922
113055.713,0.293453277
113056.828,0.021735034
113208.391,0.273082714
113209.29,0.081078301
113209.928,0.256141097
113210.486,0.033306803
113056.698,0.035228222
113060.629,0.00443877
113210.573,0.048697112
113213.58,0.003207324
113366.984,0.169337893
113366.509,0.081363089
113367.526,0.113224775
113365.841,0.087514336
113529.826,0.111557762
113518.543,0.08081822
113530.007,0.05218139
113521.334,0.085334767
113364.748,0.048665294
113364.297,0.07419497
113524.635,0.050640078
113522.037,0.06975269
113360.85,0.219800222
113364.923,0.077396452
113363.212,0.220312665
113364.155,0.038265631
113524.657,0.171509358
113518.425,0.072643653
113518.786,0.185499258
113518.561,0.032576922
113364.536,0.058338048
113366.885,0.001900329
113521.814,0.057071809
113521.237,0.010368613
113059.476,0.272856753
113062.5,0.001622359
113212.43,0.240569408
113214.406,0.002835408
113365.381,0.212455993
113366.75,0.002438326
113521.866,0.183169786
113520.835,0.004856505
113709.358,0.419380207
113853.706,0.395192794
114002.253,0.390057586
114152.38,0.392966096
113694.218,0.347665757
113684.197,0.381590065
113684.575,0.481279692
113680.376,0.591329329
113847.648,0.330132914
113840.624,0.38413566
113840.753,0.487164129
113836.897,0.597776335
113681.457,0.423105223
113680.333,0.301309231
113679.494,0.63537262
113677.582,0.45264822
113836.038,0.420884665
113834.828,0.282697466
113834.115,0.637174284
113833.168,0.4254735
114143.09,0.412184905
114143.463,0.240469021
113999.852,0.324073053
113994.275,0.386873247
113994.105,0.493895382
113991.381,0.603747198
114150.737,0.322793538
114147.854,0.388793508
114145.806,0.501075501
114144.51,0.609026422
113989.455,0.417857193
113988.733,0.263113031
113987.611,0.636208581
113986.505,0.395014299
114143.09,0.412184905
114143.463,0.240469021
114141.005,0.632539802
114140.329,0.363755933
114302.019,0.398984259
114451.934,0.406325314
114603.198,0.414250177
114755.202,0.423359356
114449.677,0.393341841
114300.469,0.405006566
114309.229,0.181517937
114454.058,0.36247747
114453.272,0.144754255
114302.433,0.324875536
114300.489,0.390758384
114297.276,0.508832678
114296.713,0.61360756
114452.649,0.328506569
114449.677,0.393341841
114448.022,0.517094828
114446.286,0.617917705
114300.469,0.405006566
114296.881,0.218892279
114295.497,0.62771065
114296.144,0.335265775
114446.816,0.401585668
114446.198,0.202946343
114445.793,0.622400497
114448.397,0.311439816
114601.862,0.394486898
114757.919,0.39450018
114603.496,0.319977419
114603.062,0.115840158
114759.193,0.286384963
114757.206,0.088107246
114604.899,0.331622602
114601.862,0.394486898
114600.187,0.52518411
114596.668,0.6203283
114757.795,0.335391653
114757.919,0.39450018
114753.878,0.533125035
114751.879,0.622144582
114597.378,0.400795347
114597.123,0.186737633
114594.623,0.611762818
114589.305,0.291618179
114752.888,0.399809117
114751.893,0.164113313
114751.57,0.597253132
114746.094,0.270307515
113682.996,0.110771397
113677.989,0.01060071
113681.525,0.090362516
113674.179,0.041655399
113836.735,0.091729237
113834.632,0.008254675
113833.944,0.062813077
113830.542,0.039582479
113682.561,0.00863823
113833.044,0.008806662
113989.639,0.071811323
113987.491,0.004025426
113986.575,0.040026913
113984.412,0.040387938
114143.954,0.049417839
114141.508,0.001698733
114138.595,0.026349769
114138.977,0.051130356
113987.214,0.015614374
114142.316,0.030161976
114142.316,0.030161976
114298.046,0.02520698
114447.533,0.009822453
114298.046,0.02520698
114297.436,0.018460802
114293.823,0.021825357
114294.316,0.063527213
114447.533,0.009822453
114448.566,0.046854236
114448.439,0.012016
114446.887,0.075627122
114296.553,0.043067567
114296.553,0.043067567
114458.073,0.006778889
114448.943,0.050659876
114606.75,0.002498147
114756.922,0.00250252
114596.643,0.006686477
114597.196,0.069192641
114598.912,0.026691296
114595.223,0.089658918
114750.298,0.02477368
114752.396,0.077804271
114749.118,0.055274702
114749.248,0.095176095
114603.549,0.019797712
114600.91,0.058209214
114600.91,0.058209214
114758.268,0.032253385
114753.451,0.064230006
114753.451,0.064230006
113687.518,0.520554008
113683.722,0.588748693
113842.168,0.522570634
113840.457,0.5892385
113687.269,0.45803756
113705.239,0.369321379
113842.374,0.463232649
113851.684,0.337952301
113994.482,0.525418746
113993.315,0.590709206
114145.85,0.529008848
