Volume [m^3],Pressure [Pa],Velocity [m/s]
3.42E-07,204624.456,0.053338374
3.42E-07,204620.919,0.041771612
3.42E-07,205111.227,0.046768329
3.42E-07,205107.149,0.038442693
3.42E-07,204619.252,0.041674904
3.42E-07,204615.763,0.034262481
3.42E-07,205108.857,0.043730862
3.42E-07,205104.95,0.03597085
3.42E-07,204616.952,0.03218571
3.42E-07,204613.508,0.022919029
3.42E-07,204134.947,0.051064754
3.42E-07,204131.639,0.045143593
3.42E-07,203644.065,0.044158966
3.42E-07,203641.053,0.040211479
3.42E-07,204132.779,0.048240658
3.42E-07,204129.246,0.037079732
3.42E-07,203641.832,0.046058667
3.42E-07,203638.694,0.036581722
3.42E-07,204128.562,0.041428329
3.42E-07,204125.966,0.036192555
3.42E-07,203638.645,0.040592837
3.42E-07,203637.038,0.040188614
3.42E-07,204125.857,0.027206616
3.42E-07,204122.961,0.018888559
3.42E-07,203635.551,0.025930602
3.42E-07,203633.349,0.022035667
3.42E-07,205116.624,0.05682818
3.42E-07,205113.518,0.049832453
3.42E-07,204624.136,0.050486519
3.42E-07,204620.961,0.039103276
3.42E-07,205118.688,0.053664355
3.42E-07,205115.215,0.051489389
3.42E-07,204626.076,0.047865735
3.42E-07,204622.778,0.041341832
3.42E-07,205109.108,0.04405833
3.42E-07,205105.367,0.039368328
3.42E-07,204617.09,0.030733028
3.42E-07,204614.099,0.026083315
3.42E-07,205111.347,0.049265911
3.42E-07,205108.004,0.047659012
3.42E-07,204619.338,0.037545823
3.42E-07,204616.517,0.036899256
3.42E-07,204132.687,0.047399776
3.42E-07,204129.662,0.03553722
3.42E-07,203641.543,0.050080384
3.42E-07,203638.956,0.041033087
3.42E-07,204134.389,0.047018201
3.42E-07,204131.729,0.038241948
3.42E-07,203642.098,0.050566633
3.42E-07,203640.701,0.043311519
3.42E-07,204126.39,0.025805776
3.42E-07,204124.043,0.021900081
3.42E-07,203636.305,0.02843425
3.42E-07,203634.717,0.020331922
3.42E-07,204128.96,0.033066168
3.42E-07,204126.62,0.033375078
3.42E-07,203638.885,0.035451851
3.42E-07,203637.092,0.031365239
2.62E-07,203178.724,0.142077797
2.62E-07,202690.474,0.139496854
2.62E-07,203168.934,0.135738394
2.62E-07,202679.109,0.133706228
3.42E-07,203176.622,0.101204552
3.42E-07,203178.705,0.066406742
3.42E-07,202687.92,0.097932169
3.42E-07,202686.485,0.066861797
3.42E-07,203167.261,0.081602342
3.42E-07,203166.049,0.044307513
3.42E-07,202676.826,0.079101483
3.42E-07,202675.866,0.044896548
2.62E-07,202207.827,0.133728912
2.62E-07,201728.583,0.124875129
2.62E-07,202192.752,0.128521491
2.62E-07,201708.646,0.122613214
3.42E-07,202204.28,0.091461014
3.42E-07,202201.324,0.078947388
3.42E-07,201723.908,0.080140349
3.42E-07,201723.045,0.095490086
3.42E-07,202188.774,0.076904752
3.42E-07,202189.197,0.05605533
3.42E-07,201705.885,0.07241962
3.42E-07,201705.84,0.083524067
2.62E-07,203164.52,0.127155947
2.62E-07,202674.011,0.123478618
2.62E-07,203160.512,0.116766159
2.62E-07,202669.701,0.112822459
3.42E-07,203163.783,0.06713858
3.42E-07,203164.733,0.038207748
3.42E-07,202671.077,0.063477927
3.42E-07,202675.329,0.029842412
3.42E-07,203159.526,0.056727599
3.42E-07,203159.669,0.034497116
3.42E-07,202666.021,0.04976299
3.42E-07,202668.789,0.026063071
2.62E-07,202185.611,0.117656545
2.62E-07,201698.105,0.111515669
2.62E-07,202178.306,0.108541886
2.62E-07,201693.296,0.10217211
3.42E-07,202179.215,0.064497369
3.42E-07,202183.9,0.042398906
3.42E-07,201692.31,0.06982031
3.42E-07,201695.945,0.074512147
3.42E-07,202173.351,0.050563535
3.42E-07,202178.405,0.036283652
3.42E-07,201682.295,0.063261872
3.42E-07,201688.431,0.063859173
3.42E-07,203176.641,0.057193608
3.42E-07,203173.968,0.064514996
3.42E-07,202686.846,0.060367074
3.42E-07,202684.924,0.065479519
3.42E-07,203164.232,0.049142049
3.42E-07,203161.407,0.067072139
3.42E-07,202675.623,0.039148747
3.42E-07,202675.854,0.051364998
3.42E-07,203168.915,0.078549162
3.42E-07,203166.204,0.086151493
3.42E-07,202682.1,0.081446834
3.42E-07,202679.201,0.090679433
3.42E-07,203161.255,0.080851614
3.42E-07,203161.235,0.085159299
3.42E-07,202674.788,0.0723243
3.42E-07,202673.63,0.085624273
3.42E-07,202200.449,0.071353952
3.42E-07,202200.993,0.077559442
3.42E-07,201724.751,0.100193801
3.42E-07,201729.049,0.115256592
3.42E-07,202188.908,0.038202391
3.42E-07,202189.077,0.047779003
3.42E-07,201705.605,0.073808098
3.42E-07,201705.895,0.086761905
3.42E-07,202200.61,0.095186362
3.42E-07,202196.609,0.105799908
3.42E-07,201730.912,0.141742367
3.42E-07,201725.933,0.156617582
3.42E-07,202188.205,0.076494923
3.42E-07,202186.168,0.095648249
3.42E-07,201706.12,0.119223626
3.42E-07,201703.482,0.143588727
3.42E-07,203164.284,0.04060889
3.42E-07,203163.127,0.050525695
3.42E-07,202673.326,0.02276575
3.42E-07,202672.701,0.035776511
3.42E-07,203157.541,0.03500676
3.42E-07,203154.556,0.038548731
3.42E-07,202667.685,0.021563257
3.42E-07,202665.523,0.023343602
3.42E-07,203160.241,0.066965747
3.42E-07,203157.875,0.077498604
3.42E-07,202670.312,0.062813756
3.42E-07,202668.945,0.07972389
3.42E-07,203151.357,0.057115891
3.42E-07,203151.831,0.065283226
3.42E-07,202664.05,0.047502697
3.42E-07,202664.115,0.065710338
3.42E-07,202182.64,0.015063747
3.42E-07,202183.015,0.025226639
3.42E-07,201694.451,0.053666482
3.42E-07,201694.413,0.062460774
3.42E-07,202177.93,0.011721147
3.42E-07,202176.847,0.009256777
3.42E-07,201688.489,0.041454302
3.42E-07,201688.151,0.045106436
3.42E-07,202181.501,0.06042636
3.42E-07,202180.041,0.085483964
3.42E-07,201694.392,0.095762747
3.42E-07,201692.554,0.124241357
3.42E-07,202176.295,0.041935008
3.42E-07,202175.921,0.069650454
3.42E-07,201687.915,0.07439412
3.42E-07,201687.564,0.102743876
